Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change
SCHW,The Charles Schwab Corporation,Financial,Investment Brokerage - National,USA,61520000000,17.62,44.51,-2.30%
SEE,Sealed Air Corporation,Consumer Goods,Packaging & Containers,USA,7200000000,19.81,46.26,-0.11%
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,41780000000,39.79,457.33,-0.68%
SIVB,SVB Financial Group,Financial,Regional - Pacific Banks,USA,13290000000,13.79,247.45,-0.92%
SJM,The J. M. Smucker Company,Consumer Goods,Processed & Packaged Goods,USA,13680000000,21.98,122.45,0.60%
SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,66180000000,29.9,44.99,-1.97%
SLG,SL Green Realty Corp.,Financial,REIT - Retail,USA,7420000000,33.89,88.98,0.68%
SNA,Snap-on Incorporated,Industrial Goods,Small Tools & Accessories,USA,9560000000,14.34,172.22,0.59%
SNPS,"Synopsys, Inc.",Technology,Semiconductor Equipment & Materials,USA,17950000000,31.45,120.69,0.67%
SO,The Southern Company,Utilities,Electric Utilities,USA,54160000000,24.2,52.26,0.81%
SPG,"Simon Property Group, Inc.",Financial,REIT - Retail,USA,54380000000,22.44,178.64,1.15%
SPGI,S&P Global Inc.,Services,Business Services,USA,54240000000,28.19,217.42,-0.26%
SRE,Sempra Energy,Utilities,Diversified Utilities,USA,34550000000,37.7,126.68,0.44%
STI,"SunTrust Banks, Inc.",Financial,Money Center Banks,USA,28290000000,11.31,63.04,-0.79%
STT,State Street Corporation,Financial,Asset Management,USA,25090000000,10.56,66.08,-1.17%
STX,Seagate Technology plc,Technology,Data Storage Devices,Ireland,13410000000,7.07,47.58,-1.32%
STZ,"Constellation Brands, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,37930000000,12.81,208.64,0.56%
SWK,"Stanley Black & Decker, Inc.",Industrial Goods,Machine Tools & Accessories,USA,22150000000,27.82,150.03,1.75%
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductor - Integrated Circuits,USA,15640000000,14.7,89.49,0.28%
SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,2410000000,4.44,4.15,0.00%
SYF,Synchrony Financial,Financial,Credit Services,USA,23070000000,8.94,33.31,-0.44%
SYK,Stryker Corporation,Healthcare,Medical Appliances & Equipment,USA,69750000000,35.65,186.83,-0.07%
SYMC,Symantec Corporation,Technology,Security Software & Services,USA,15570000000,197.48,24.4,0.45%
SYY,Sysco Corporation,Services,Food Wholesale,USA,36460000000,24.92,70.59,0.27%
T,AT&T Inc.,Technology,Telecom Services - Domestic,USA,2.3443E+11,11.58,31.02,-3.38%
TAP,Molson Coors Brewing Company,Consumer Goods,Beverages - Brewers,USA,12870000000,11.89,62.03,1.22%
TDG,TransDigm Group Incorporated,Industrial Goods,Aerospace/Defense Products & Services,USA,24670000000,32.53,479.87,0.04%
TEL,TE Connectivity Ltd.,Technology,Diversified Electronics,Switzerland,30720000000,10.46,94.07,4.74%
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,USA,12940000000,66.77,277.01,-1.12%
TGT,Target Corporation,Services,"Discount, Variety Stores",USA,42710000000,15.13,82.73,0.69%
TIF,Tiffany & Co.,Services,Jewelry Stores,USA,12970000000,23.51,108.2,0.43%
TJX,"The TJX Companies, Inc.",Services,Department Stores,USA,67760000000,22.7,55.62,0.78%
TMK,Torchmark Corporation,Financial,Life Insurance,USA,9670000000,14.28,86.31,-0.58%
TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical Laboratories & Research,USA,1.061E+11,36.47,261.27,-1.00%
TPR,"Tapestry, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,8940000000,12.08,31.16,1.04%
TRIP,"TripAdvisor, Inc.",Technology,Internet Information Providers,USA,7270000000,60.64,53.15,-0.86%
TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,USA,25490000000,14.58,110.18,2.49%
TRV,"The Travelers Companies, Inc.",Financial,Property & Casualty Insurance,USA,36410000000,14.87,138.52,0.37%
TSCO,Tractor Supply Company,Services,"Specialty Retail, Other",USA,12590000000,23.88,104.36,1.15%
TSN,"Tyson Foods, Inc.",Consumer Goods,Meat Products,USA,27120000000,14.76,74.15,-0.40%
TSS,"Total System Services, Inc.",Financial,Credit Services,USA,18060000000,32.56,98.56,-3.60%
TTWO,"Take-Two Interactive Software, Inc.",Technology,Multimedia & Graphics Software,USA,10440000000,29.35,93.43,0.15%
TWTR,"Twitter, Inc.",Technology,Internet Information Providers,USA,30610000000,25.58,39.31,-1.16%
TXN,Texas Instruments Incorporated,Technology,Semiconductor - Broad Line,USA,1.0932E+11,20.98,117.84,1.25%
TXT,Textron Inc.,Industrial Goods,Aerospace/Defense - Major Diversified,USA,13040000000,11.21,54.45,0.31%
UA,"Under Armour, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,,-,20.19,1.25%
UAA,"Under Armour, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,9420000000,11190,22.72,1.52%
UAL,"United Continental Holdings, Inc.",Services,Major Airlines,USA,23500000000,12.2,88.32,0.40%
UDR,"UDR, Inc.",Financial,REIT - Residential,USA,12250000000,59.84,44.78,1.54%
UHS,"Universal Health Services, Inc.",Healthcare,Hospitals,USA,11500000000,15.56,129.4,1.03%
ULTA,"Ulta Beauty, Inc.",Services,"Specialty Retail, Other",USA,20880000000,32.11,354.9,0.93%
UNH,UnitedHealth Group Incorporated,Healthcare,Health Care Plans,USA,2.2205E+11,17.91,229.3,-0.56%
UNM,Unum Group,Financial,Accident & Health Insurance,USA,8030000000,15.63,36.7,-0.70%
UNP,Union Pacific Corporation,Services,Railroads,USA,1.2889E+11,22.3,177.57,0.48%
UPS,"United Parcel Service, Inc.",Services,Air Delivery & Freight Services,USA,98010000000,20.63,114.16,0.49%
URBN,"Urban Outfitters, Inc.",Services,Apparel Stores,USA,3010000000,10.74,29.55,0.82%
URI,"United Rentals, Inc.",Services,Rental & Leasing Services,USA,10990000000,10.46,138.6,0.16%
USB,U.S. Bancorp,Financial,Regional - Midwest Banks,USA,83380000000,12.48,51.69,0.01%
UTX,United Technologies Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,1.1968E+11,18.83,139.79,-0.16%
V,Visa Inc.,Financial,Credit Services,USA,3.558E+11,34.75,161.49,-0.11%
VAR,"Varian Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,12150000000,33.29,133.71,0.60%
VFC,V.F. Corporation,Consumer Goods,Textile - Apparel Clothing,USA,37400000000,26.9,94.61,0.02%
VIAB,Viacom Inc.,Services,Entertainment - Diversified,USA,12230000000,8.28,30.03,2.58%
VLO,Valero Energy Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,38290000000,12.46,87.93,-2.60%
VMC,Vulcan Materials Company,Industrial Goods,General Building Materials,USA,16170000000,31.78,124.49,1.11%
VNO,Vornado Realty Trust,Financial,REIT - Diversified,USA,13140000000,34.71,70.37,0.92%
VRSK,"Verisk Analytics, Inc.",Services,Business Services,USA,22630000000,39.13,139.93,0.33%
VRSN,"VeriSign, Inc.",Technology,Internet Information Providers,USA,22560000000,40.23,189.46,0.09%
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,44520000000,84.84,172.96,-1.38%
VTR,"Ventas, Inc.",Financial,REIT - Healthcare Facilities,USA,20810000000,61.66,59.27,1.51%
VZ,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,2.3643E+11,15.2,57.13,-0.03%
WAB,Wabtec Corporation,Services,Railroads,USA,12330000000,26.48,76.69,-0.07%
WAT,Waters Corporation,Healthcare,Medical Instruments & Supplies,USA,14860000000,27.53,207.08,-2.03%
WBA,"Walgreens Boots Alliance, Inc.",Services,Drug Stores,USA,49110000000,10.64,53.77,1.03%
WCG,"WellCare Health Plans, Inc.",Healthcare,Health Care Plans,USA,12880000000,27.22,258.93,0.53%
WDC,Western Digital Corporation,Technology,Data Storage Devices,USA,15790000000,18.9,53.79,-1.21%
WEC,"WEC Energy Group, Inc.",Utilities,Electric Utilities,USA,24250000000,22.96,77.17,0.55%
WELL,Welltower Inc.,Financial,REIT - Healthcare Facilities,USA,28660000000,79.45,73.45,1.03%
WFC,Wells Fargo & Company,Financial,Money Center Banks,USA,2.1493E+11,10.39,47.1,-0.53%
WHR,Whirlpool Corporation,Consumer Goods,Appliances,USA,8980000000,-,138.37,-1.11%
WLTW,Willis Towers Watson Public Limited Company,Financial,Insurance Brokers,United Kingdom,23190000000,34.29,180.19,0.11%
WM,"Waste Management, Inc.",Industrial Goods,Waste Management,USA,45200000000,23.96,106.69,0.44%
WMB,"The Williams Companies, Inc.",Basic Materials,Oil & Gas Pipelines,USA,35010000000,-,28.63,-0.68%
WMT,Walmart Inc.,Services,"Discount, Variety Stores",USA,2.9572E+11,42.59,103.47,0.39%
WRK,WestRock Company,Consumer Goods,Packaging & Containers,USA,9320000000,12.09,36.58,0.22%
WU,The Western Union Company,Financial,Credit Services,USA,8470000000,10.08,19.49,0.39%
WY,Weyerhaeuser Company,Industrial Goods,"Lumber, Wood Production",USA,19330000000,26.39,26.29,1.35%
WYNN,"Wynn Resorts, Limited",Services,Resorts & Casinos,USA,15480000000,91.14,142.35,-0.38%
XEC,Cimarex Energy Co.,Basic Materials,Independent Oil & Gas,USA,7200000000,8.57,71.68,0.61%
XEL,Xcel Energy Inc.,Utilities,Electric Utilities,USA,28450000000,31.05,55.47,0.53%
XLNX,"Xilinx, Inc.",Technology,Semiconductor - Integrated Circuits,USA,34950000000,40.79,138.76,1.18%
XOM,Exxon Mobil Corporation,Basic Materials,Major Integrated Oil & Gas,USA,3.5426E+11,17.1,82.21,-1.41%
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,USA,11070000000,-,49.71,-0.10%
XRX,Xerox Corporation,Technology,Information Technology Services,USA,7840000000,19.62,34.17,-0.06%
XYL,Xylem Inc.,Industrial Goods,Diversified Machinery,USA,14910000000,27.01,83.22,0.0018
YUM,"YUM! Brands, Inc.",Services,Restaurants,USA,32210000000,22.96,103.67,0.0073
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,25060000000,-,124.57,0.0147
ZION,"Zions Bancorporation, National Association",Financial,Regional - Pacific Banks,USA,9300000000,11.96,47.62,-0.025
ZTS,Zoetis Inc.,Healthcare,Drugs - Generic,USA,49000000000,35.9,101.94,-0.0003
